Экспортёр;Страна;Город;Роль;Что возил (модели);Отгрузок;Годы;Покупатели в РФ;Сайт;Email;Телефон;Профиль;Приоритет;Комментарий
Dongturbo Electric Co. Ltd (DTEC);Китай;Чэнду/Дэян (Сычуань);ПРОИЗВОДИТЕЛЬ;"SGT-600/GT10B, SGT-700; камера сгорания SGT-600; предлагает ЗИП+капремонт SGT-100/200/300";21 (6 по SGT);2023-2024;"ООО СТС; ООО СА***; ООО ПРО***";dongturbo.com (зерк.: steamturbo.net, chinaturbo.net);dqzhanghaoyue@vip.126.com;"+86 139-0807-3010 (WhatsApp); +86 185-8083-7560";dongturbo.en.alibaba.com;П1;"Главный кандидат: открыто продаёт ЗИП Siemens SGT; камеру сгорания уже возил в РФ"
Suzhou Fuhang Machinery Co. Ltd;Китай;Сучжоу (Цзянсу);экспортёр/посредник;SGT-400 запчасти (2 отгрузки, 27-32 кг — масштаб горелок);2;2023;ООО СТС;нет сайта;не найдено;не найдено (есть в платной Volza: 139 отгрузок, осн. рынок РФ);volza.com/company-profile/suzhou-fuhang-machinery-co-ltd-65331122;П1;"Единственный, кто возил именно SGT-400; контакты добыть через Volza-подписку или через их покупателя (СТС)"
Henan Gas Turbine Energy Technology Co. Ltd;Китай;Чжэнчжоу (Хэнань);ПОСТАВЩИК non-OEM ЗИП;"Siemens Gas Turbine Parts (hot gas path), GE Parts; ремонт HGP/роторов, покрытия";1;2023;ООО ГЭХ Сервис ГТ;henangtet.com;services@henangtet.com;+86 136-6385-6033;—;П1;"На сайте отдельный раздел ЗИП Siemens; сервис-инженеры, капремонты"
SAMIC S.p.A.;Италия;Lonate Ceppino (Varese);ПРОИЗВОДИТЕЛЬ горячего тракта;Камеры сгорания, горелки, жаровые трубы, liners для heavy-duty ГТУ (Ansaldo/Siemens-дизайн);1;2023;ООО ГЭХ Сервис ГТ;samic.it;info@samic.it;+39 0331-842483;—;П2;"Профильный завод по камерам сгорания с 1965; Inconel/Ni-сплавы; санкц. риск ЕС — через посредника"
GFM S.p.A.;Италия;Mapello (Bergamo);ПРОИЗВОДИТЕЛЬ мехобработки;"Комплекты деталей heavy-duty ГТУ; официально работал с Siemens и GE (AE64.3A = лиц. Siemens V64.3A)";1;2023;ООО АЭР;gfmspa.com;info@gfmspa.com;"+39 035 499-5401 (офис); +39 035 761059 (пр-во)";—;П2;"Подтверждённая Siemens-компетенция; санкц. риск ЕС"
TESI Group / TESI IGNITERS S.r.l.;Италия;Vermezzo (Milano);ПРОИЗВОДИТЕЛЬ зажигания;Запальники/свечи камер сгорания ГТУ;1;2023;ООО Петро***;tesigroup.com;tesi.global@tesigroup.com;+39 02 9440501;—;П2;Узкая ниша: воспламенители для камер сгорания
Ansaldo Energia S.p.A.;Италия;Генуя;OEM;"AE64.3A (лиц. Siemens V64.3A), AE94.2/94.3A; запчасти/ремонт";1;2023;ООО АЭР;ansaldoenergia.com;info@ansaldoenergia.com;+39 010 6551;—;П3;"OEM; напрямую с РФ работать не будет — канал через посредников"
Siemens Energy Industrial Turbomachinery Ltd;Великобритания;Линкольн (Ruston House);OEM (завод SGT-100/200/300/400);Б/у турбины SGT-100/200 + запчасти;4+;2023-2025;"ООО СТС; АО К***; ООО Зарубеж***";siemens-energy.com/uk;contact@siemens-energy.com;"+44 1522 584000; сервис 24/7 +49 911 7044-4470";—;П3;"Домашний завод SGT-400; официально ушли из РФ — отгрузки 23-25 гг = параллельный канал"
Siemens Energy Global GmbH & Co. KG;Германия;Мюнхен;OEM;ЗИП SGT-800;1;2024;ООО ЮН***;siemens-energy.com;contact@siemens-energy.com;+49 89 7805-0;—;П3;Параллельный канал
Foshan Xinchuang Industrial Co. Ltd;Китай;Фошань (Гуандун);ТРЕЙДЕР-прокладка;"«Части ГТД» + GE Frame 7 MS7001EA; 500+ экспортных записей от копиров до промоборудования";27;2023-2024;ООО СТС;нет сайта;не найдено;не найдено (платные D&B/ImportGenius);—;П3;"Агент параллельного импорта СТС; не производитель"
